date,close,open,high,low,volume,trading_value,market_cap,per,pbr,eps,listed_shares,company_name,code,listing_date
2023-07-25,26400.0,30150.0,31150.0,26050.0,863519,24684424500.0,0.0,0.0,0.0,0.0,0.0,뷰티스킨,406820,2023-07-24
2023-12-13,51000.0,55300.0,75900.0,45600.0,29726280,1893103054700.0,0.0,0.0,0.0,0.0,0.0,블루엠텍,439580,2023-12-13
2023-12-14,35700.0,46200.0,48550.0,35700.0,9342117,381800667450.0,0.0,0.0,0.0,0.0,0.0,블루엠텍,439580,2023-12-13
2022-10-18,3870.0,3470.0,3870.0,3470.0,9494166,36050256885.0,0.0,0.0,0.0,0.0,0.0,비스토스,419540,2022-10-18
2022-10-19,3240.0,3870.0,4020.0,3170.0,9072660,33015215625.0,0.0,0.0,0.0,0.0,0.0,비스토스,419540,2022-10-18
2023-11-09,11660.0,17040.0,17400.0,11490.0,6732507,93981446390.0,0.0,0.0,0.0,0.0,0.0,비아이매트릭스,413640,2023-11-09
2023-11-10,11800.0,11630.0,12270.0,10630.0,2685673,31713975380.0,0.0,0.0,0.0,0.0,0.0,비아이매트릭스,413640,2023-11-09
2022-12-22,1985.0,1980.0,2000.0,1970.0,657598,1301264390.0,0.0,0.0,0.0,0.0,0.0,비엔케이제1호기업인수목적,445360,2022-12-22
2022-12-23,1975.0,1985.0,1985.0,1975.0,86541,171277330.0,0.0,0.0,0.0,0.0,0.0,비엔케이제1호기업인수목적,445360,2022-12-22
2024-03-05,2005.0,4020.0,4550.0,1998.0,28690646,88530039609.0,0.0,0.0,0.0,0.0,0.0,비엔케이제2호기업인수목적,473370,2024-03-05
2024-03-06,2010.0,2005.0,2015.0,1999.0,840237,1684911857.0,0.0,0.0,0.0,0.0,0.0,비엔케이제2호기업인수목적,473370,2024-03-05
2022-06-20,9050.0,10500.0,11300.0,8800.0,2054273,20942112350.0,0.0,0.0,0.0,0.0,0.0,비큐에이아이,148780,2022-06-20
2022-06-21,8270.0,9060.0,9090.0,8150.0,444965,3736448250.0,0.0,0.0,0.0,0.0,0.0,비큐에이아이,148780,2022-06-20
2023-08-17,26350.0,26900.0,45700.0,26050.0,9408968,341652033000.0,0.0,0.0,0.0,0.0,0.0,빅토리콘텐츠,210120,2023-08-17
2023-08-18,23300.0,28000.0,30600.0,23300.0,1408496,38125262450.0,0.0,0.0,0.0,0.0,0.0,빅토리콘텐츠,210120,2023-08-17
2024-04-25,17000.0,18200.0,23850.0,17000.0,13560144,278733121140.0,0.0,0.0,0.0,0.0,0.0,삐아,451250,2024-04-25
2024-04-26,14180.0,16200.0,16730.0,13630.0,5159799,77569873360.0,0.0,0.0,0.0,0.0,0.0,삐아,451250,2024-04-25
2024-11-19,18490.0,21000.0,23200.0,18490.0,4879062,101651030800.0,0.0,0.0,0.0,0.0,0.0,사이냅소프트,466410,2024-11-19
2024-11-20,17150.0,18100.0,18590.0,16510.0,802676,13962380870.0,0.0,0.0,0.0,0.0,0.0,사이냅소프트,466410,2024-11-19
2024-02-19,47750.0,43700.0,47750.0,40150.0,5091865,236787757050.0,0.0,0.0,0.0,0.0,0.0,사피엔반도체,452430,2024-02-19
2024-02-20,48600.0,49900.0,59200.0,47500.0,7746861,422659033700.0,0.0,0.0,0.0,0.0,0.0,사피엔반도체,452430,2024-02-19
2022-10-27,20850.0,24150.0,24650.0,19850.0,3520489,75761262900.0,0.0,0.0,0.0,0.0,0.0,산돌,419120,2022-10-27
2022-10-28,19500.0,20300.0,21200.0,19050.0,940514,18954005600.0,0.0,0.0,0.0,0.0,0.0,산돌,419120,2022-10-27
2022-06-30,5200.0,4000.0,5200.0,4000.0,2498372,12495350445.0,0.0,0.0,0.0,0.0,0.0,삼성기업인수목적6호,425290,2022-06-30
2022-07-01,6760.0,6760.0,6760.0,5730.0,13058750,83287310370.0,0.0,0.0,0.0,0.0,0.0,삼성기업인수목적6호,425290,2022-06-30
2022-10-26,14100.0,17150.0,18000.0,12650.0,4079189,60513588850.0,0.0,0.0,0.0,0.0,0.0,삼성기업인수목적7호,439250,2022-10-26
2022-10-27,14050.0,14800.0,16450.0,13350.0,5065389,76340433550.0,0.0,0.0,0.0,0.0,0.0,삼성기업인수목적7호,439250,2022-10-26
2023-03-02,9980.0,10100.0,10300.0,9970.0,2249928,22625365250.0,0.0,0.0,0.0,0.0,0.0,삼성기업인수목적8호,448740,2023-03-02
